model
allenai/olmo-3.1-32b-think:free
nvidia/nemotron-3-nano-30b-a3b
openai/gpt-oss-20b
google/gemma-3-27b-it
qwen/qwen3-30b-a3b-thinking-2507
qwen/qwen3-32b
z-ai/glm-4-32b
deepseek/deepseek-r1-distill-qwen-14b
essentialai/rnj-1-instruct
qwen/qwen3-vl-30b-a3b-thinking
deepseek/deepseek-r1-distill-qwen-32b
qwen/qwen3-vl-32b-instruct
aion-labs/aion-1.0-mini
