model
x-ai/grok-4.1-fast
xiaomi/mimo-v2-flash:free
moonshotai/kimi-k2-thinking
z-ai/glm-4.7
deepseek/deepseek-r1-0528
deepseek/deepseek-v3.2
minimax/minimax-m2.1
